Decision	SAT	ACT	Subject_tests	GPA	Rank	Gender	Ethnicity	Income_Bracket	School_Type
Decision: Deferred	SAT I (breakdown): 1560 (800 Math, 760 EBR&W, 6-6-6 Essay)		SAT II: 800 Math 2, 760 US History	GPA (out of 4.0): 3.88	idk	Male	White	Income Bracket: too much for aid	Catholic
Decision: Deferred	SAT I (breakdown): 790 (R) 800 (M)		SAT II: 800 (math 2) 800 (physics) 800 (chemistry)	GPA (out of 4.0): 4.0	Top 10%	M	Asian	Income Bracket: High	Suburban Public
Decision: Deferred	SAT I (breakdown): 1580 (800 Math, 780 English), Essay: 19	ACT (breakdown): 36 in all subsections	SAT II: 800 Math 2, 800 Chemistry	GPA (out of 4.0): 4.0	Top 10%	Male	Asian	Income Bracket: ~$190,000	Public
Decision: Accepted	SAT I (breakdown):750 M 750 RW: 1500	ACT (breakdown): highest 30 34 E 31 R 27 M 26 S (oof) I hate the ACT	SAT II:770 US history 660 World history (oof)	GPA (out of 4.0):3.9	Top 10%	Woman	Black	Income Bracket: this is slightly complicated since my parents are divorced but technically my income bracket it around 100K with both my parents combined income	small town, kinda large, 1100 kids
Decision: Deferred	SAT I (breakdown): 1540 (790 M, 750 R/W)		SAT II: 760 Math II, 710 Physics	GPA (out of 4.0):	3	Male	White	Income Bracket: <30k	Public
Decision: Deferred	SAT I (breakdown): 1570 (780 RW, 790 math, 19/24 essay)		SAT II: Physics 730, Math II 800	GPA (out of 4.0): 3.98	Top 10%	F	no	Income Bracket: 125-150	public, not particularly competitive either
Decision: Accepted (lol what!!!!!)	SAT I (breakdown): Took it in November (so didn't submit to Princeton) but 1590	ACT: 36	SAT II: Bio M (800), Math II (800)	GPA (out of 4.0): 4.0	N/A	F	N	Income Bracket: 150+	Public
Decision: Deferred	SAT I (breakdown): 1540	ACT:33 (36E, 29M, 33R, 34S)	SAT II: 740 US, 720 Lit	GPA (out of 4.0): 3.75	N/A (School doesn't rank)	M		Income Bracket:idk	Public
Decision: DEFERRAL		ACT (super-scored): 29 = 31 Eng, 29 Reading, 27 Science, 24 in Math	SAT II: Did not take	GPA (out of 4.0): 3.6!	Not Top 10%	Male		Income Bracket: Lower middle class	bad public school
Decision: Deferred	SAT I (breakdown): n/a	ACT: 36		GPA (out of 4.0): 3.95	n/a	Female	nr	Income Bracket: middle class	Public
Decision: Deferred	SAT I (breakdown): 1490 (740 math, 750 English), single sitting		SAT II: Chemistry: 630 Mathematics II 670	GPA (out of 4.0): 3.9	Top 10%	Male	No	Income Bracket: ~$105,000	Public, rural
Decision: Accepted	SAT I (breakdown): 1440, Math - 710, ERW - 730		SAT II: Math 2 - 730 Physics - 690	GPA (out of 4.0): 3.69	N/A	Female	Black	Income Bracket: ~40,000	Not competitive
Decision: Accepted (I am shaking rn)	SAT I: 1560, 790M & 770ERW		SAT II: 800 Math II, 770 Lit, 760 World History	GPA (out of 4.0): 4.0	Top 10%	male	whitie	Income Bracket: ~80K	Very small parochial school (private Christian school, but not the bougie kind)
Decision: Accepted Objective:	SAT I (breakdown): 1480 (740 M, 740 R)		SAT II: 660 (Lit, US History) & 610 (Math 1- did not send)	GPA (out of 4.0): 3.94	Top 10%	Female	No	Income Bracket: < $25,000	Public (Charter)
Decision: Accepted Objective:	SAT I (breakdown): 1480 (740 M, 740 R)		SAT II: 660 (Lit, US History) & 610 (Math 1- did not send)	GPA (out of 4.0): 3.94	Top 10%	Female	No	Income Bracket: <$25,000	Public (Charter)
Decision: Deferred	SAT I (breakdown): 1540 (760 EBRW, 780 Math)		SAT II: 690 Math II, 750 Biology M	GPA (out of 4.0): 3.85	none	Female	Indian		Large Public
Decision: Deferred	SAT I (breakdown): 1510: Math: 780, Reading: 730	ACT (breakdown): 31	SAT II: Math II: 800, Physics: 750, (US History: 650 not reported)	GPA (out of 4.0): 4	N/A	M	Caucasian		Independent
Decision: Deferred	SAT I (breakdown): 800 M, 760 R		SAT II: 800 Math II, 800 Physics	GPA (out of 4.0): 3.98	Top 10%	Male	White		Split between public/magnet
Decision: Deferred	SAT I (breakdown): 1540 (790 Math, 750 English)		SAT II: 730 Math II, 690 Physics	GPA (out of 4.0): Unsure, around 3.8 probably	Top 10%	Male	White		Public
Decision: Deferred	SAT I (breakdown): N/A	ACT (breakdown): 31C, 32E, 35M, 27R (oof), 30S	SAT II: 730 Math I, 710 US History	GPA (out of 4.0): 4.000	Top 10%	Male	Asian American (Japanese/Italian)		Public, around 1800 students total
Decision: Accepted	SAT I (breakdown): 1240 (630 EBRW, 610 math)		SAT II: 690 BioE, 700 US History	GPA (out of 4.0): 3.68	Top 10%	Male	African-American		Suburban public
Decision Accepted	SAT I (breakdown):	ACT (breakdown):36	SAT II:800 Math2, 800 World History	GPA (out of 4.0):3.9	top 10%	Male	white		Private
Decision: Accepted	SAT I (breakdown): n/a	ACT (breakdown): 35 (36E, 35M, 34R, 34S)	SAT II: Math II: 790, Chem: 710 oof	GPA (out of 4.0): 4.0	n/a	Female	South Korean		public, a really big school (3k + kids)
Decision: Deferred[*/color][*/size][*/b]	SAT I (breakdown):NA	ACT (breakdown):36 C, 35E, 36M, 35R, 36S	SAT II: 730 Math1, 720 English (Didn’t send both)	GPA (out of 4.0): 3.65	Top 10%	Male	Jewish Caucasian		Small, Jewish Day School
Decision: Deferred	SAT I (breakdown): 1530 superscore (790 M, 740 E), didn't send	ACT (breakdown): 35 (36 M/36 S/35 E/33 R)	SAT II: 800 Math II, 770 Bio (M)	GPA (out of 4.0): 3.50	Not Top 10%				
Decision: Deferred	SAT I (breakdown): 1500	ACT (breakdown): 35	SAT II: Math II: 780 Physics: 780	GPA (out of 4.0): 3.9	Top 10%	Female	White		Public
Decision: Deferred	SAT I (breakdown): 800 Math, 790 ERW		SAT II: 800 Math 2, 790 Chemistry	GPA (out of 4.0): I have no idea, probably around 3.8	Top 10%	Male	Hispanic		Public
Decision: Deferred	SAT I (breakdown): 1540 Composite, highest categories are 790 CR+W on one test and 800 M on another test (submitted two tests with highest categories and composite)	ACT (breakdown): 36C - 36E/35M/36R/36S (submitted)	SAT II: 800 Math II, 710 Physics	GPA (out of 4.0): 3.8	Top 10%	Male (oooof)	Indian (oof)	Income Bracket: >200k (oooooof)	Public (avg act right around 24)
Decision: Deferred	SAT I (breakdown): 1470	ACT (breakdown): 32 Composite, 35M, 31E, 31S, 30R (sent)	SAT II: 740 Math 2, 710 Chemistry, 710 Biology.	GPA (out of 4.0): 4.0	Top 10%	Male	African American		Charter
Decision: Accepted	SAT I (breakdown): Didn't take	ACT (breakdown): 34	SAT II: 800 Math Level II	GPA (out of 4.0): 3.889	No rank	Male	African/African-American		Private
Decision: Accepted	SAT I (breakdown): 1560 (800 Math/760 Reading/Writing), 18 Essay		SAT II: 800 Math II, 750 U.S. History	GPA (out of 4.0): 4.0	Top 10%	M		Income Bracket: $60-80k	Large Public
Decision: Deferred	SAT I (breakdown): N/A (didn’t take)	ACT (breakdown): 28C (25E,35M,25R,25S) (yikessss lol)	SAT II: 780 Math II, 710 Physics	GPA (out of 4.0): 4.0	N/A (not ranked)	Male	White	Income Bracket: < $65000	Officially, religious. In practice, public.
Decision: Deferred	SAT I (breakdown): 1530 (770 M 760RW)		SAT II: 800 US History, 790 Math II, 760 Biology E	GPA (out of 4.0): 4.0	Top 10%	female	whiiiiiite	Income Bracket: >150k	public
Decision: Deferred	SAT I (breakdown): 780M/790ERBW	ACT (breakdown): 35/35/35/34S	SAT II: 800 Math II, 790 US History, 750 Physics	GPA (out of 4.0): 4.0	Top 10%	female	white	Income Bracket: upper middle class	large public
Decision: Deferred	SAT I (breakdown): 1600	ACT (breakdown): n/a	SAT II: Math 2 800, Chemistry 800	GPA (out of 4.0): 4.0	n/a	male	white	Income Bracket: 100-150k	Public
Decision: Accepted	SAT I (breakdown): Math: 800; R&W: 760; Essay: 8 8 8	ACT (breakdown): Reading: 34; Writing: 35; Math: 36; Science: 36	SAT II: Chemistry: 800; Biology M: 800; Math II: 800; World History: 800	GPA (out of 4.0): 4.00	1	Male	White	Income Bracket: Middle class	very large public (3000 kids, another guy got in with me)
Decision: Deferred	SAT I (breakdown): 1550, 800 M, 750 CR	ACT (breakdown): 35 E, 35 M, 34 R, 34 S	SAT II: 780 US History, 780 Math II	GPA (out of 4.0): 4.0	None	Male	White	Income Bracket: About 250k	Public
Decision: Accepted	SAT I (breakdown): Eng: 750 Math: 760	ACT (breakdown): Eng: 36 Reading: 36 Math: 33 Science: 31	SAT II: Math II: 690 US History: 780	GPA (out of 4.0): IDK	Top 10%	Female	African American	Income Bracket: 160 K +	Large Public
Decision: Accepted	SAT I (breakdown): Eng: 750 Math: 760	ACT (breakdown): Eng: 36 Reading:36 Math:33 Science: 31	SAT II: Math 2: 690 US History: 780	GPA (out of 4.0): IDK	Top 10%	Female	African American	Income Bracket: 160K +	Large Public
Decision: ACCEPTED!!!	SAT I (breakdown): N/A	ACT (breakdown): 35 C (36E 35M 34R 36S 9W)	SAT II: 770 Math II, 720 Chem	GPA (out of 4.0): 3.9	Top 10%	female	White (middle-eastern)	Income Bracket: uber low	NODET
Decision: Accepted	SAT I (breakdown): 1510 (M-800, R-710) -- Did not submit	ACT (breakdown): 36 (36/36/36/35) -- Submitted	SAT II: 800 Math II, 800 Biology M	GPA (out of 4.0): 4.0	Top 10%	Female	Korean	Income Bracket: Middle (100k ish)	Large Public
Decision: Accepted	SAT I: 1450 (Eng. 740 Maths. 710)		SAT II: Chinese.790 - Literature.720	GPA (out of 4.0): n/a	n/a	Female	British, Chinese	Income Bracket: low income, high assets	Specialist Music school
Decision: Accepted	SAT I (breakdown): 1570 (800 M, 770 CR/W), 24 essay	ACT (breakdown): N/A	SAT II: Biology M (800), Physics (800), Math II (800)	GPA (out of 4.0): 3.80	1	Male	Asian	Income Bracket: $200k+	Public magnet
Decision: Accepted	SAT I (breakdown): 1510 (780M 730RW) Didn't submit - just for National Merit	ACT (breakdown): 36 (36M, 36S, 35E, 35R, 9W)	SAT II: 750 Math II, 720 Literature	GPA (out of 4.0): 4.0	Top 10%	Male	White	Income Bracket: <30,000	Public
Decision: Accepted	SAT I: 760R 800M 22E		SAT II: 800 Math II, 780 Chemistry, 780 Latin	GPA (out of 4.0): 4.0	Top 10%	prefer not to say	sorta complicated but basically half ashkenazi jew, half caribbean black	Income Bracket: 200kish	private academic, full of high-achievers -- one of the best in my country
Decision: Deferred	SAT I (breakdown): 1590 (790M 800W 7/7/7 Essay) - single sitting	ACT (breakdown): did not take	SAT II: 800 Math II, 800 Biology Molecular, 800 Physics	GPA (out of 4.0): 4.0	n/a - does not rank	Male	Asian	Income Bracket: high enough for no financial aid	small public magnet
Decision: Accepted	SAT I (breakdown): 1550 (780 M 770 RW)	ACT (breakdown): 35	SAT II: 800 Math II, 800 Spanish Reading, 800 Chemistry	GPA (out of 4.0): 3.95	Top 10%	Male	Hispanic, African	Income Bracket: 60,000-70,000	Public
Decision: Deferred	SAT I (breakdown): (took for NM, didn't send) 1520/780 reading/740 math	ACT (breakdown): 34C/36E/31M/35R/33S	SAT II: 790 Math II/770 USH	GPA (out of 4.0): frosh/soph: ~3.85 junior	n/a	female	white	Income Bracket: 200k+	private, small
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 32 Composite (36 English, 35 Reading, 27 Math, (yikes), 31 Science, 8 Writing (yikes))	SAT II: US History (750) Biology Ecological (730)	GPA (out of 4.0): 4.0	Top 10%	Female	African American	Income Bracket: Definitely applied for financial aid...	Online
Decision: Accepted	SAT I (breakdown):	ACT (breakdown): 33	SAT II: 730 USH 670 Lit	GPA (out of 4.0): 4.0	Top 10%	M	Black	Income Bracket: 60,000	Public
Decision: Deferred	SAT I (breakdown): 1590 (790 Reading, 800 Math)	ACT (breakdown): N/A	SAT II:	GPA (out of 4.0): 3.92	N/A		White	Income Bracket: $300,000+	Public
Decision: Rejected	SAT I (breakdown): 1550 (790 M, 760 R) All in one sitting	ACT (breakdown): 34 but didn't send	SAT II: 800 Math II, 700 USH, 700 Chem	GPA (out of 4.0): 4.0	Top 10%		Asian (Indian)	Income Bracket: 2 high 4 aid	Public
Decision: Accepted	SAT I (breakdown): 1410 (LOL didn’t send for obv. reasons)	ACT (breakdown): Cumulative: 34, Reading: 35, English: 34, Math: 35, Science: 31	SAT II: Math II: 770, Lit: 740	GPA (out of 4.0): 3.97	Top 10%	Female	Asian	Income Bracket: upper class	huge public school
Decision: RejectedI didn't list everything for privacy reasons, but I describe the ones I neglected	SAT I (breakdown):	ACT (breakdown): 35	SAT II: one 750, two 740	GPA (out of 4.0): 3.6	N/A		Sorry can't tell	Income Bracket: sorry, can't tell.	Sorry can't tell
Decision: Deferred	SAT I (breakdown): 1520 (720 R 800 M)	ACT (breakdown): N/A	SAT II: N/A	GPA (out of 4.0): 3.86	Top 10%	Male	Asian	Income Bracket: > $100,000	Competitive public
Decision: Deferred	SAT I (breakdown): um pls lmk why you would take the SAT	ACT (breakdown): 32 (E32 M32 R34 S30)	SAT II: N/A	GPA (out of 4.0): 3.791	Not Top 10%	female	lollllll	Income Bracket: idk man	public
Decision: Accepted - CC	SAT I (breakdown): 1570 (770 CR, 800 M)	ACT (breakdown): n/a	SAT II: 790 World History, 760 Chemistry	GPA (out of 4.0): 3.78	n/a	Male	White	Income Bracket: 240k+	Competitive Public
Decision: Accepted - Columbia College	SAT I (breakdown): 1370 (Math:720 English: 650	ACT (breakdown): Didn't take		GPA (out of 4.0): 4.0	Top 10%	Female	Asian (Bengali)	Income Bracket: <40,000	small public school
Decision: Deferred SEAS[/color][/size][/b]	SAT I (breakdown): 1550	ACT (breakdown): None	SAT II: Math II: 800, Chem: 780	GPA (out of 4.0): School does not have unweighted	Does not rank	Male	Asian ;(	Income Bracket: $50000-$80000	Public Magnet
Decision Rejected	SAT I (breakdown): 1500		SAT II: 800, 750	GPA (out of 4.0): 3.55	Don't know... probably the top 15%	Male	Asian Chinese ( I'm proud of my race)	Income Bracket: 20k Low income	Public
Decision: Accepted w/ Kluge Scholar Recognition Objective:	SAT I (breakdown M/CR/W/Essay): 1540: 790M - 750E - 8/8/8 Essay	ACT (breakdown): N/A	SAT II (subject, score): 800 Physics - 800 Chemistry - 750 Math	GPA (out of 4.0): 4.0	Top 10%	M	White Hispanic	Income Bracket Range: High	Suburban Public
Decision: Accepted SEAS Objective:	SAT I: 1530; 790M, 740ERW		SAT II (subject, score): 800 Math II, 720 Physics, 790 Spanish	GPA: 4.0	Top 10%	Male	Mexican	Income Bracket Range: ~80k	Public, somewhat large
Decision: Deferred	SAT I (breakdown): NA	ACT (breakdown): 34C (34E,35M,35R,32S)	SAT II: Math 2 (800), Physics (650) - I hadn't taken an AP science or equivalent, so this was full self-study and I made that clear.	GPA (out of 4.0): 3.88	Not Top 10%	Male	White		Good public
Decision: Deferred	SAT I (breakdown):	ACT (breakdown):		GPA (out of 4.0):					
Decision: Deferred	SAT: 1530 (800M, 730RW, 24/24 essay); Subject tests: 800 Math II, 800 BioE (also got 740 BioM, 720 Math II and accidentally sent those RIP); APs: all 5s: Bio, Lang, USH, Envi Sci, Calc BC, Chem. Taking Phys C: Mech, Econ, Lit, and Euro this year.		800 Math II, 800 BioE (also got 740 BioM, 720 Math II and accidentally sent those RIP	GPA: 4.0		Male	White/Pinoy	Income Bracket: VERY complicated and I don't really wanna address it here	fringe rural public, above average, generally upper middle, Levittown-esque high school, not one of those crazy competitive publics around here tho lol
Decision: Rejected[*/color][*/size][*/b]	SAT I (breakdown): 800 Maths, 710 EBRW, essay 5/5/7		SAT II: Maths-II 800, Physics 800	GPA (Italy): 3.9		Female	White		STEM-focused high school (public)
Decision: Accepted	SAT I (breakdown): 1570 (800 M, 770 R/W)	ACT (breakdown): Didn’t take	SAT II: 800 Math II, 800 Chem, 790 BioM	GPA (out of 4.0): 3.98	My school does not rank	Male	African American	Income Bracket: < 40000	Specialized High School (Large Public)
Decision: Deferred	SAT I (breakdown): 1590 (800 Math, 790 English, 21 Essay)	ACT (breakdown): N/A	SAT II: 800 (Math II), 800 (Physics)	GPA (out of 4.0): 3.7122	Not Top 10%	Male	Indian	Income Bracket: 200,000	Large, Competitive Public
Decision: Deferred[*/size]	SAT I (breakdown): 1560 (790M, 770E)	ACT (breakdown):36 superscore		GPA (out of 4.0): 4.0	Top 10%				
Decision: Deferred[*/color][*/size][*/b]	SAT I (breakdown): 750 RW, 780 Math		SAT II: 800 Math, 770 Physics	GPA (out of 4.0): 3.85 (Note that GPAs are highly school dependent.)		male	white		Independent
Decision: Accepted	SAT I (breakdown): 1570, 800 Reading+Writing, 770 Math	ACT (breakdown): NA	SAT II: 800 Math II, 770 Chemistry	GPA (out of 4.0): 3.89	Top 10%	Female	Mixed		Public
Decision: Accepted	SAT I (breakdown):800 Math 700 CR	ACT (breakdown):	SAT II:800 Math 2 750 Physics	GPA (out of 4.0): 3.92	Top 10%	Male	Caucasian		non private school
Decision: Deferred	SAT I (breakdown): 790 Math, 730 English, 6/4/6 essay	ACT (breakdown):	SAT II: 800 math II, 750 bio-M	GPA (out of 4.0): My school doesn't do unweighted GPAs	Top 10%	male	white		public, coed
Decision: Rejected	SAT I (breakdown): 1570 (800M / 770E)	ACT (breakdown): didn't take	SAT II: 800 Chemistry 800 Math 2	GPA (out of 4.0): 4.0	Top 10%	Female	White		Public
Decision: Rejected Objective:	SAT I (breakdown M/CR/W/Essay): Didn't take	ACT (breakdown): 33C	SAT II (subject, score): 780 Math II, 790 Chemistry	GPA (out of 4.0): 3.73	Not Top 10%	Male	White	Income Bracket Range: Middle class	Small public
Decision: WaitlistedObjective:	SAT I (breakdown M/CR/W/Essay): 780/790, 8/8/8	ACT (breakdown): 35/35/35/34 in science	SAT II (subject, score): Math II, 800; US History, 790; Physics, 750	GPA (out of 4.0): 4.0	Top 10%		whitest white bread you ever saw	Income Bracket Range: abnormally high in the year they ask for, usually around $110k, 2016 was like 5x that bc stock options sometimes work out for people who work at startups	Large public (at least by Idaho standards--there are 400 kids in my class in a state where maybe 150 is a lot more common)
Decision: Rejected [/b][/color][/size]	SAT I superscore (breakdown M/CR/W/Essay): 790/760/NA/No idea		SAT II (subject, score): 800 M2, 800 Physics, 770 USH	GPA (out of 4.0): roughly 4.0		Male	White	Income Bracket Range: High	Private Prep
Decision: WaitlistedObjective:	SAT I (breakdown M/CR/W/Essay): 800 M/760 R	ACT (breakdown): 35 M/36 R/35 S/36 E	SAT II (subject, score): math 2: 790, physics 800	GPA (out of 4.0): 4.0	Top 10%	F	white russian (lmao)	Income Bracket Range: didnt apply for financial aid, can’t afford MIT	public
Decision: Accepted Objective:	SAT I (breakdown): 1540 (800 RW and 740 M, 17/24 essay)	ACT (breakdown): N/A	SAT II: 800 French, 740 Math 2, 710 Physics	GPA (out of 4.0): 4.0	Top 10%	female	white	Income Bracket(mention if FA candidate): upper middle class	small private
Decision:AcceptedObjective:	SAT I (breakdown M/CR/W/Essay): 790/750/22	ACT (breakdown): Math (35) Reading (36) English (35) Science (35) Writing	SAT II (subject, score): Biology M (790) Mathematics 2 (770)	GPA (out of 4.0): 3.86	Top 10%	Male	White	Income Bracket Range: 46,000	Public
Decision: AdMITted!	SAT I: 1580	ACT (breakdown): 35	SAT II (subject, score): 800 Biology, 790 Math II	GPA (out of 4.0): 4.0	Top 10%	female	white	Income Bracket Range: upper middle	Large, public
Decision: Accepted	SAT I 1570 breakdown M780/CR/W/790 Essay 8		SAT II (subject, score):Chemistry 760, Math 770	GPA (out of 4.0):4.0	N/A	male	Hispanic	Income Bracket Range: $100k	home school
Decision: Accepted	SAT I: 760R 800M 22E		SAT II: 800 Math II, 780 Chemistry, 780 Latin	GPA (out of 4.0): 4.0	Top 10%		sorta complicated but basically half ashkenazi jew, half caribbean black	Income Bracket: 200kish	private academic, full of high-achievers -- probably the best in my country
Decision: Accepted Objective:	SAT I : (1490) Math - 770 | Reading - 720 | Essay - 18	ACT : (35) Reading/English - 36 | Math - 35 | Science - 34	SAT II : Math 2 - 800 | Physics - 720 | Biology - 750	GPA (out of 4.0): 4.0	None	Female	Asian	Income Bracket Range: 50K ishReflection	Public
Decision: Accepted Objective:	SAT I: 1530; 790M, 740ERW		SAT II (subject, score): 800 Math II, 720 Physics, 790 Spanish	GPA: 4.0	Top 10%	Male	Mexican	Income Bracket Range: ~80k	Public, somewhat large
Decision: Rejected after Deferred Objective:	SAT I (breakdown M/CR/W/Essay): 1500 (750/750)	ACT (breakdown): 35: english - 35, math - 33, reading - 36, science - 36	SAT II (subject, score): physics - 650, math i - 720, math ii - 770	GPA (out of 4.0):		female	Hispanic	Income Bracket Range:	private/Catholic
Decision: Deferred [/size][/b]	SAT I (breakdown): 1500 (780 E, 720 M) -- taken and submitted to Yale October of junior year... oops.	ACT (breakdown): 35C (33 M, 34 S, 36 R, 36 E)	SAT II: 710 Lit, 730 USH.	GPA (out of 4.0): 3.95	Not Top 10%	female	white	Income Bracket: 65-100k	public, soul-destroyingly-competitive
Decision: Rejected		ACT (breakdown): 36 superscore (twice)- 36E, 36M, 35R, 35S	SAT II: 800 Math II, Biology (800 expected), Physics (780-800 expected)	GPA (out of 4.0): 3.87	Top 10%	M	Chinese	Income Bracket: Upper	Public, 300 students in my class
Decision: Rejected	SAT I (breakdown): Did not take.	ACT (breakdown): 35 (35E, 35M, 34R, 34S). First time.	SAT II: 800 Math II, 770 Spanish with Listening	GPA (out of 4.0): 3.84 (bad first trimester)	Not Top 10%	male	indian	Income Bracket: >250K	boarding
Decision: Deferred [/color][/size]		ACT (breakdown): 35 (36 reading, 36 English, 34 math, 34 science)	SAT II: 780 math II	GPA (out of 4.0): 3.99	Top 10%	F	white	Income Bracket: upper middle	public
Decision: Deferred	SAT I (breakdown): 1560 (770R, 790M)		SAT II: Math II - 800, Physics - 800	GPA (out of 4.0): 4.0	School does not rank	Male	Hispanic	Income Bracket: <50k	Private (w/ financial aid)
Decision: Accepted	SAT I (breakdown): 790 reading, 780 math	ACT (breakdown): 36	SAT II: 800 literature, 780 Spanish	GPA (out of 4.0): 3.8	No rank or percentile	F	Latina & white	Income Bracket: UMC	Public (small)
Decision: Accepted Objective:	SAT I (breakdown): 1590 (790 Reading, 800 Math)	ACT (breakdown): 36 (all sections)		GPA (out of 4.0): 3.9	N/A	Male	Korean	Income Bracket: <$50K	Public, ~1000 graduating class
Decision: Accepted	SAT I (breakdown): didn't take	ACT (breakdown): 34	SAT II: 790 lit and low 730 us history	GPA (out of 4.0): 4.0	school doesn't rank	Female	White	Income Bracket:	Public school
Decision: Rejected	SAT I (breakdown): 1550 (780 Reading, 770 Math)	ACT (breakdown): N/A	SAT II: 790 Chemistry	GPA (out of 4.0): N/A	Top 10%		White		Public
Decision: Deferred [/color][/size]	SAT I (breakdown): Overall: 1530 M: 770 R: 760	ACT (breakdown): Overall: 33 R:36 W:36 S:32 M:28	SAT II: Lit: 730	GPA (out of 4.0): 3.7	Not ranked	Female	White		Residential public art school
Decision: Deferred [/color][/size][/b]	SAT I (breakdown): 1550 (760 EBRW, 790 Math)		SAT II: Math II= 800, Physics- 750	GPA (out of 4.0): 3.99	Top 10%	Male	White		Private/ religious
Decision: Deferred	SAT I (breakdown): not sent	ACT (breakdown): 33	SAT II: never took them	GPA (out of 4.0): 3.93	Top 10%	male	white	Income Bracket: 100k	lower income public
Decision: Accepted	SAT I (breakdown): 1400/1600	ACT (breakdown): N/A		GPA (out of 4.0): 3.9	Top 10%	Male	White	Income Bracket: 200-300k	Private, Boarding (UWC)
Decision: Deferred	SAT I (breakdown): didn't send	ACT (breakdown): 35 C 36R 36W 34M 33S	SAT II: 800 Bio M, 780 Math II	GPA (out of 4.0): 3.935	Top 10%	Gender F	Latina	Income Bracket: Middle class	Small city public
Decision: Deferred	SAT I (breakdown): Didn't send	ACT (breakdown): 29C 23M 33W 33R 25S		GPA: 3.78	Not Top 10%	Female	White/Japanese	Income Bracket: High(ish)	Public
Decision: Rejected	SAT I (breakdown): Never Took it	ACT (breakdown): 34C (34E 32M 35R 35S) (SS is one point higher in English)	SAT II: 710 Math 2 750 Chem	GPA: 3.825	N/A	Male	White	Income Bracket: 200-300k	Private
Decision: Deferred [/color][/size][/b]	SAT I (breakdown): n/a	ACT (breakdown): 33C (36R, 35W, 33S, 30M)	SAT II: 750 US, 770 World	GPA (out of 4.0): 4.0	Top 10%	Female	White (both white white and the spicy ethnic white that is Middle Eastern)	Income Bracket: 150k+	Suburban Public
